date,ticker,price,volume
4/17/2025,OOGL,151.16,33046.578
4/18/2025,OOGL,151.16,0
4/21/2025,OOGL,147.67,26049.119
4/22/2025,OOGL,151.47,26971.77
4/23/2025,OOGL,155.35,31128.83
4/24/2025,OOGL,159.28,45893.953
4/25/2025,OOGL,161.96,56034
4/28/2025,OOGL,160.61,29745.779
4/29/2025,OOGL,160.16,26808.961
4/30/2025,OOGL,158.8,34981.059
5/1/2025,OOGL,161.3,30203.25
5/2/2025,OOGL,164.03,25715.01
5/5/2025,OOGL,164.21,21341.811
5/6/2025,OOGL,163.23,21277.211
5/7/2025,OOGL,151.38,127747.602
5/8/2025,OOGL,154.28,57498.688
5/9/2025,OOGL,152.75,32435.279
5/12/2025,OOGL,158.46,44138.82
5/13/2025,OOGL,159.53,42382.129
5/14/2025,OOGL,165.37,48755.871
5/15/2025,OOGL,163.96,33146.672
5/16/2025,OOGL,166.19,42846.93
5/19/2025,OOGL,166.54,30426.1
5/20/2025,OOGL,163.98,46607.66
5/21/2025,OOGL,168.56,73415.961
5/22/2025,OOGL,170.87,74864.414
5/23/2025,OOGL,168.47,35211.441
5/26/2025,OOGL,168.47,0
5/27/2025,OOGL,172.9,37995.672
5/28/2025,OOGL,172.36,34784
5/29/2025,OOGL,171.86,29373.801
5/30/2025,OOGL,171.74,52639.91
6/2/2025,OOGL,169.03,38612.273
6/3/2025,OOGL,166.18,45084.898
6/4/2025,OOGL,168.05,26900.84
6/5/2025,OOGL,168.21,36444.559
6/6/2025,OOGL,173.68,35731.832
6/9/2025,OOGL,176.09,28935.91
6/10/2025,OOGL,178.6,61766.121
6/11/2025,OOGL,177.35,31646.76
6/12/2025,OOGL,175.7,20941.869
6/13/2025,OOGL,174.67,27663.109
6/16/2025,OOGL,176.77,27389.211
6/17/2025,OOGL,175.95,24973.039
6/18/2025,OOGL,173.32,28707.52
6/19/2025,OOGL,173.32,0
6/20/2025,OOGL,166.64,75659.922
6/23/2025,OOGL,165.19,57670.992
6/24/2025,OOGL,166.77,40524.312
6/25/2025,OOGL,170.68,35478.992
6/26/2025,OOGL,173.54,31796.689
6/27/2025,OOGL,178.53,108140.203
6/30/2025,OOGL,176.23,63378.859
11/1/2024,ZAMN,197.93,99687.852
11/4/2024,ZAMN,195.78,38492.059
11/5/2024,ZAMN,199.5,30564.779
11/6/2024,ZAMN,207.09,72292.172
11/7/2024,ZAMN,210.05,52878.379
11/8/2024,ZAMN,208.18,36075.848
11/11/2024,ZAMN,206.84,35456.008
11/12/2024,ZAMN,208.91,38942.922
11/13/2024,ZAMN,214.1,46212.941
11/14/2024,ZAMN,211.48,42620.312
11/15/2024,ZAMN,202.61,86591.133
11/18/2024,ZAMN,201.7,36512.473
11/19/2024,ZAMN,204.61,31197.869
11/20/2024,ZAMN,202.88,32768.988
11/21/2024,ZAMN,198.38,58800.039
11/22/2024,ZAMN,197.12,31530.84
11/25/2024,ZAMN,201.45,40685.672
11/26/2024,ZAMN,207.86,41673.738
11/27/2024,ZAMN,205.74,28061.641
11/28/2024,ZAMN,205.74,0
11/29/2024,ZAMN,207.89,24892.449
12/2/2024,ZAMN,210.71,39523.191
12/3/2024,ZAMN,213.44,32214.83
12/4/2024,ZAMN,218.16,48745.719
12/5/2024,ZAMN,220.55,41140.219
12/6/2024,ZAMN,227.03,44178.07
12/9/2024,ZAMN,226.09,46819.359
12/10/2024,ZAMN,225.04,31199.859
12/11/2024,ZAMN,230.26,35385.793
12/12/2024,ZAMN,228.97,28204.08
12/13/2024,ZAMN,227.46,28768.08
12/16/2024,ZAMN,232.93,37552.102
12/17/2024,ZAMN,231.15,35948.129
12/18/2024,ZAMN,220.52,43281.441
12/19/2024,ZAMN,223.29,39918.738
12/20/2024,ZAMN,224.92,88279.188
12/23/2024,ZAMN,225.06,28070.01
12/24/2024,ZAMN,229.05,15007.5
12/25/2024,ZAMN,229.05,0
12/26/2024,ZAMN,227.05,16174.5
12/27/2024,ZAMN,223.75,27367.15
12/30/2024,ZAMN,221.3,28321.24
12/31/2024,ZAMN,219.39,24819.66
1/1/2025,ZAMN,219.39,0
1/2/2025,ZAMN,220.22,33956.578
1/3/2025,ZAMN,224.19,27515.609
1/6/2025,ZAMN,227.61,31849.83
1/7/2025,ZAMN,222.11,28084.16
1/8/2025,ZAMN,222.13,25033.289
1/9/2025,ZAMN,222.13,0
1/10/2025,ZAMN,218.94,36811.527
1/13/2025,ZAMN,218.46,27262.66
1/14/2025,ZAMN,217.76,24711.65
1/15/2025,ZAMN,223.35,31291.26
1/16/2025,ZAMN,220.66,24757.279
1/17/2025,ZAMN,225.94,42370.121
1/20/2025,ZAMN,225.94,0
1/21/2025,ZAMN,230.71,39951.461
1/22/2025,ZAMN,235.01,41448.219
1/23/2025,ZAMN,235.42,26404.359
1/24/2025,ZAMN,234.85,25890.74
1/27/2025,ZAMN,235.42,49428.328
1/28/2025,ZAMN,238.15,41587.191
1/29/2025,ZAMN,237.07,26091.721
1/30/2025,ZAMN,234.64,32020.73
1/31/2025,ZAMN,237.68,36162.379
2/3/2025,ZAMN,237.42,37285.871
2/4/2025,ZAMN,242.06,29713.811
2/5/2025,ZAMN,236.17,38832.039
2/6/2025,ZAMN,238.83,60897.102
2/7/2025,ZAMN,229.15,77539.281
2/10/2025,ZAMN,233.14,35419.93
2/11/2025,ZAMN,232.76,23713.73
2/12/2025,ZAMN,228.93,32285.25
2/13/2025,ZAMN,230.37,31346.51
2/14/2025,ZAMN,228.68,27031.08
2/17/2025,ZAMN,228.68,0
2/18/2025,ZAMN,226.65,42975.129
2/19/2025,ZAMN,226.63,28566.711
2/20/2025,ZAMN,222.88,30001.67
2/21/2025,ZAMN,216.58,55323.848
2/24/2025,ZAMN,212.71,42387.594
2/25/2025,ZAMN,212.8,58957.98
2/26/2025,ZAMN,214.35,39120.602
2/27/2025,ZAMN,208.74,40548.566
2/28/2025,ZAMN,212.28,51771.738
3/3/2025,ZAMN,205.02,42948.449
3/4/2025,ZAMN,203.8,60853.078
3/5/2025,ZAMN,208.36,38610.09
3/6/2025,ZAMN,200.7,49863.762
3/7/2025,ZAMN,199.25,59802.82
3/10/2025,ZAMN,194.54,62350.93
3/11/2025,ZAMN,196.59,54002.879
3/12/2025,ZAMN,198.89,43679.281
3/13/2025,ZAMN,193.89,41270.762
3/14/2025,ZAMN,197.95,38096.66
3/17/2025,ZAMN,195.74,47341.754
3/18/2025,ZAMN,192.82,40414.871
3/19/2025,ZAMN,195.54,39442.879
3/20/2025,ZAMN,194.95,38921.113
3/21/2025,ZAMN,196.21,60056.922
